iso3,GID_1,GID_2,area,population,pop_density_sqkm
AGO,AGO.10_1,AGO.10.12_1,5174.629091572195,145478,28.113705818439595
AGO,AGO.10_1,AGO.10.13_1,9109.506250789527,238338,26.163657330971485
AGO,AGO.11_1,AGO.11.1_1,568.288975859737,2220666,3907.6351897209715
AGO,AGO.11_1,AGO.11.2_1,33.86821562581919,2113241,62395.994620660975
AGO,AGO.11_1,AGO.11.3_1,15.777425567861696,520515,32991.12379020052
AGO,AGO.11_1,AGO.11.4_1,67.97155466040192,2547998,37486.23983562322
AGO,AGO.11_1,AGO.11.5_1,27.591149181970017,1173291,42524.18020945319
AGO,AGO.11_1,AGO.11.6_1,6.13160613834429,303199,49448.54466498274
AGO,AGO.11_1,AGO.11.7_1,320.1787811451424,1503277,4695.117504737265
AGO,AGO.11_1,AGO.11.8_1,12.511614678606843,580047,46360.68284550046
AGO,AGO.11_1,AGO.11.9_1,1422.1495143471332,5280832,3713.274832726905
AGO,AGO.12_1,AGO.12.1_1,9802.243483570011,125065,12.758813858238389
AGO,AGO.12_1,AGO.12.2_1,9899.85830304109,59203,5.980186603460144
AGO,AGO.12_1,AGO.12.3_1,11247.014872480302,30073,2.6738650513910103
AGO,AGO.12_1,AGO.12.4_1,11498.195817031885,213565,18.57378352207687
AGO,AGO.12_1,AGO.12.5_1,6534.347854953757,186726,28.576072799436457
AGO,AGO.12_1,AGO.12.6_1,10194.96568144142,21832,2.141449091853468
AGO,AGO.12_1,AGO.12.7_1,14551.321477929836,27346,1.8792794895965983
AGO,AGO.12_1,AGO.12.8_1,18654.448748650346,155370,8.328844346646322
AGO,AGO.12_1,AGO.12.9_1,16649.89942102389,61393,3.6872895413697715
AGO,AGO.13_1,AGO.13.1_1,12371.083229511292,30258,2.44586504177899
AGO,AGO.13_1,AGO.13.2_1,14956.538865239278,27016,1.80630025725994
AGO,AGO.13_1,AGO.13.3_1,28095.406706464164,35813,1.2746923500402711
AGO,AGO.13_1,AGO.13.4_1,23710.62418619829,418116,17.634120330049388
AGO,AGO.14_1,AGO.14.1_1,6489.595066394803,71831,11.068641304287823
